uberon_id	cui
UBERON:0000002	UMLS:C0007874
UBERON:0000004	UMLS:C0028429
UBERON:0000004	UMLS:C0458561
UBERON:0000006	UMLS:C0022131
UBERON:0000007	UMLS:C0032005
UBERON:0000007	UMLS:C0751440
UBERON:0000009	UMLS:C0225344
UBERON:0000010	UMLS:C0206417
UBERON:0000010	UMLS:C1305921
UBERON:0000011	UMLS:C0030510
UBERON:0000011	UMLS:C1305770
UBERON:0000013	UMLS:C0039044
UBERON:0000013	UMLS:C1269646
UBERON:0000014	UMLS:C1123023
UBERON:0000017	UMLS:C0553695
UBERON:0000019	UMLS:C0015392
UBERON:0000019	UMLS:C1280202
UBERON:0000020	UMLS:C0036665
UBERON:0000020	UMLS:C0935626
UBERON:0000022	UMLS:C0015731
UBERON:0000023	UMLS:C4042890
UBERON:0000026	UMLS:C0015385
UBERON:0000026	UMLS:C0598782
UBERON:0000029	UMLS:C0024204
UBERON:0000030	UMLS:C1179187
UBERON:0000031	UMLS:C1710457
UBERON:0000033	UMLS:C0018670
UBERON:0000037	UMLS:C0600225
UBERON:0000038	UMLS:C0016431
UBERON:0000038	UMLS:C1709369
UBERON:0000042	UMLS:C0036760
UBERON:0000043	UMLS:C0039508
UBERON:0000043	UMLS:C0039509
UBERON:0000043	UMLS:C4279943
UBERON:0000043	UMLS:C4279944
UBERON:0000044	UMLS:C0017070
UBERON:0000045	UMLS:C0017067
UBERON:0000051	UMLS:C0227794
UBERON:0000052	UMLS:C0152334
UBERON:0000052	UMLS:C0458370
UBERON:0000053	UMLS:C0450295
UBERON:0000053	UMLS:C1284755
UBERON:0000054	UMLS:C0024436
UBERON:0000056	UMLS:C0041951
UBERON:0000057	UMLS:C0041967
UBERON:0000057	UMLS:C0227720
UBERON:0000057	UMLS:C0457053
UBERON:0000057	UMLS:C2330261
UBERON:0000058	UMLS:C0687028
UBERON:0000059	UMLS:C0021851
UBERON:0000061	UMLS:C0003055
UBERON:0000061	UMLS:C0003058
UBERON:0000062	UMLS:C0178784
UBERON:0000073	UMLS:C1518256
UBERON:0000074	UMLS:C0022663
UBERON:0000075	UMLS:C1519343
UBERON:0000076	UMLS:C1515087
UBERON:0000079	UMLS:C0017422
UBERON:0000079	UMLS:C0524605
UBERON:0000079	UMLS:C1963704
UBERON:0000080	UMLS:C0025492
UBERON:0000080	UMLS:C1281743
UBERON:0000081	UMLS:C0231049
UBERON:0000082	UMLS:C0022646
UBERON:0000084	UMLS:C1284058
UBERON:0000085	UMLS:C0026573
UBERON:0000086	UMLS:C0043519
UBERON:0000087	UMLS:C1283994
UBERON:0000088	UMLS:C0041178
UBERON:0000089	UMLS:C1512561
UBERON:0000091	UMLS:C1283997
UBERON:0000101	UMLS:C0225752
UBERON:0000118	UMLS:C1514420
UBERON:0000118	UMLS:C1514897
UBERON:0000120	UMLS:C0005854
UBERON:0000121	UMLS:C0205890
UBERON:0000123	UMLS:C0205888
UBERON:0000124	UMLS:C0205889
UBERON:0000127	UMLS:C0228740
UBERON:0000158	UMLS:C0025255
UBERON:0000159	UMLS:C0227411
UBERON:0000160	UMLS:C0021853
UBERON:0000162	UMLS:C0008987
UBERON:0000164	UMLS:C0231057
UBERON:0000165	UMLS:C0226896
UBERON:0000165	UMLS:C0226897
UBERON:0000165	UMLS:C0226898
UBERON:0000167	UMLS:C0226896
UBERON:0000173	UMLS:C0002638
UBERON:0000173	UMLS:C0552315
UBERON:0000178	UMLS:C0005767
UBERON:0000180	UMLS:C0230171
UBERON:0000200	UMLS:C0458308
UBERON:0000209	UMLS:C0016732
UBERON:0000210	UMLS:C0030558
UBERON:0000211	UMLS:C0023685
UBERON:0000220	UMLS:C0004169
UBERON:0000301	UMLS:C0230976
UBERON:0000304	UMLS:C0224856
UBERON:0000305	UMLS:C0002630
UBERON:0000310	UMLS:C0006141
UBERON:0000315	UMLS:C0038527
UBERON:0000316	UMLS:C0007872
UBERON:0000316	UMLS:C0500274
UBERON:0000316	UMLS:C0524526
UBERON:0000319	UMLS:C0230960
UBERON:0000323	UMLS:C0015965
UBERON:0000323	UMLS:C0242291
UBERON:0000323	UMLS:C0524584
UBERON:0000323	UMLS:C1720767
UBERON:0000323	UMLS:C3714710
UBERON:0000326	UMLS:C0030296
UBERON:0000329	UMLS:C1182707
UBERON:0000341	UMLS:C0230069
UBERON:0000344	UMLS:C0026724
UBERON:0000344	UMLS:C0225357
UBERON:0000344	UMLS:C1179187
UBERON:0000347	UMLS:C0026969
UBERON:0000347	UMLS:C0026973
UBERON:0000348	UMLS:C0029082
UBERON:0000349	UMLS:C0023715
UBERON:0000353	UMLS:C0933845
UBERON:0000358	UMLS:C1281743
UBERON:0000359	UMLS:C1947929
UBERON:0000362	UMLS:C0022664
UBERON:0000362	UMLS:C0022666
UBERON:0000363	UMLS:C0035287
UBERON:0000365	UMLS:C0225339
UBERON:0000365	UMLS:C0227598
UBERON:0000369	UMLS:C0010097
UBERON:0000371	UMLS:C1135936
UBERON:0000375	UMLS:C0024695
UBERON:0000375	UMLS:C0162406
UBERON:0000376	UMLS:C0039866
UBERON:0000377	UMLS:C0024955
UBERON:0000377	UMLS:C0162412
UBERON:0000378	UMLS:C0448325
UBERON:0000378	UMLS:C1710437
UBERON:0000382	UMLS:C0003584
UBERON:0000382	UMLS:C0930083
UBERON:0000387	UMLS:C0224498
UBERON:0000388	UMLS:C0014540
UBERON:0000391	UMLS:C0228126
UBERON:0000395	UMLS:C0037959
UBERON:0000396	UMLS:C0226965
UBERON:0000396	UMLS:C1182961
UBERON:0000396	UMLS:C1267555
UBERON:0000403	UMLS:C0036270
UBERON:0000412	UMLS:C0221931
UBERON:0000416	UMLS:C0038541
UBERON:0000423	UMLS:C0013492
UBERON:0000424	UMLS:C0227203
UBERON:0000428	UMLS:C1179826
UBERON:0000435	UMLS:C0086527
UBERON:0000444	UMLS:C0229654
UBERON:0000446	UMLS:C0752060
UBERON:0000453	UMLS:C0230965
UBERON:0000454	UMLS:C0815008
UBERON:0000456	UMLS:C0036537
UBERON:0000456	UMLS:C1516992
UBERON:0000458	UMLS:C0227837
UBERON:0000460	UMLS:C0004768
UBERON:0000464	UMLS:C0524461
UBERON:0000467	UMLS:C0460002
UBERON:0000473	UMLS:C0039597
UBERON:0000474	UMLS:C0017421
UBERON:0000474	UMLS:C0524604
UBERON:0000474	UMLS:C0700038
UBERON:0000475	UMLS:C0005898
UBERON:0000475	UMLS:C0229962
UBERON:0000478	UMLS:C1282438
UBERON:0000479	UMLS:C0040300
UBERON:0000482	UMLS:C0004799
UBERON:0000482	UMLS:C0085872
UBERON:0000483	UMLS:C0014609
UBERON:0000483	UMLS:C0086610
UBERON:0000484	UMLS:C0836134
UBERON:0000485	UMLS:C0836135
UBERON:0000486	UMLS:C0682575
UBERON:0000487	UMLS:C0836133
UBERON:0000490	UMLS:C0682574
UBERON:0000569	UMLS:C0020880
UBERON:0000908	UMLS:C0228287
UBERON:0000911	UMLS:C0008730
UBERON:0000912	UMLS:C0026727
UBERON:0000922	UMLS:C0013935
UBERON:0000922	UMLS:C1956416
UBERON:0000922	UMLS:C2717834
UBERON:0000923	UMLS:C0920502
UBERON:0000923	UMLS:C1708239
UBERON:0000924	UMLS:C0013574
UBERON:0000925	UMLS:C0014144
UBERON:0000926	UMLS:C0025485
UBERON:0000930	UMLS:C1514977
UBERON:0000931	UMLS:C0231054
UBERON:0000933	UMLS:C0031346
UBERON:0000933	UMLS:C0224202
UBERON:0000933	UMLS:C0224214
UBERON:0000933	UMLS:C0224217
UBERON:0000933	UMLS:C1521985
UBERON:0000935	UMLS:C0152335
UBERON:0000936	UMLS:C0152327
UBERON:0000941	UMLS:C0029130
UBERON:0000942	UMLS:C0228712
UBERON:0000945	UMLS:C0038351
UBERON:0000946	UMLS:C0018826
UBERON:0000947	UMLS:C0003483
UBERON:0000947	UMLS:C0003956
UBERON:0000948	UMLS:C0018787
UBERON:0000949	UMLS:C0014136
UBERON:0000950	UMLS:C0224439
UBERON:0000955	UMLS:C0006104
UBERON:0000955	UMLS:C1269537
UBERON:0000956	UMLS:C0007776
UBERON:0000959	UMLS:C0029126
UBERON:0000961	UMLS:C0229010
UBERON:0000962	UMLS:C0228815
UBERON:0000964	UMLS:C0010031
UBERON:0000965	UMLS:C0023317
UBERON:0000966	UMLS:C0035298
UBERON:0000966	UMLS:C1278894
UBERON:0000970	UMLS:C0015392
UBERON:0000974	UMLS:C0027530
UBERON:0000975	UMLS:C0038293
UBERON:0000976	UMLS:C0020164
UBERON:0000977	UMLS:C0032225
UBERON:0000977	UMLS:C0225776
UBERON:0000977	UMLS:C0225777
UBERON:0000978	UMLS:C0023216
UBERON:0000979	UMLS:C0040184
UBERON:0000980	UMLS:C0162370
UBERON:0000981	UMLS:C0015811
UBERON:0000982	UMLS:C0022417
UBERON:0000985	UMLS:C0004456
UBERON:0000988	UMLS:C0032639
UBERON:0000988	UMLS:C1280999
UBERON:0000989	UMLS:C0030851
UBERON:0000989	UMLS:C0227948
UBERON:0000990	UMLS:C1261210
UBERON:0000991	UMLS:C0018067
UBERON:0000992	UMLS:C0029939
UBERON:0000993	UMLS:C0029954
UBERON:0000995	UMLS:C0042149
UBERON:0000996	UMLS:C0042232
UBERON:0000997	UMLS:C0042993
UBERON:0000998	UMLS:C0036628
UBERON:0000999	UMLS:C0013747
UBERON:0001000	UMLS:C0042360
UBERON:0001003	UMLS:C0014520
UBERON:0001004	UMLS:C0035237
UBERON:0001004	UMLS:C0282335
UBERON:0001007	UMLS:C0012240
UBERON:0001008	UMLS:C0042027
UBERON:0001008	UMLS:C1508753
UBERON:0001011	UMLS:C0019051
UBERON:0001013	UMLS:C0001527
UBERON:0001013	UMLS:C0344335
UBERON:0001013	UMLS:C0935625
UBERON:0001015	UMLS:C0026845
UBERON:0001016	UMLS:C0027763
UBERON:0001017	UMLS:C0927232
UBERON:0001017	UMLS:C3714787
UBERON:0001019	UMLS:C1185741
UBERON:0001020	UMLS:C1185742
UBERON:0001021	UMLS:C0027740
UBERON:0001021	UMLS:C0031119
UBERON:0001021	UMLS:C0205888
UBERON:0001021	UMLS:C0205889
UBERON:0001021	UMLS:C0205890
UBERON:0001031	UMLS:C0027807
UBERON:0001037	UMLS:C0018494
UBERON:0001037	UMLS:C0423866
UBERON:0001040	UMLS:C0043425
UBERON:0001041	UMLS:C0231051
UBERON:0001042	UMLS:C0031354
UBERON:0001043	UMLS:C0014876
UBERON:0001044	UMLS:C0036098
UBERON:0001045	UMLS:C0231052
UBERON:0001046	UMLS:C0231053
UBERON:0001048	UMLS:C0678727
UBERON:0001049	UMLS:C0231024
UBERON:0001051	UMLS:C0020629
UBERON:0001052	UMLS:C0034896
UBERON:0001054	UMLS:C0024648
UBERON:0001057	UMLS:C0010085
UBERON:0001057	UMLS:C0010091
UBERON:0001058	UMLS:C0949650
UBERON:0001062	UMLS:C1515976
UBERON:0001064	UMLS:C0013294
UBERON:0001064	UMLS:C0030288
UBERON:0001064	UMLS:C0227573
UBERON:0001064	UMLS:C0447557
UBERON:0001065	UMLS:C0227458
UBERON:0001066	UMLS:C0021815
UBERON:0001067	UMLS:C0224521
UBERON:0001069	UMLS:C0227579
UBERON:0001070	UMLS:C0007275
UBERON:0001071	UMLS:C0226271
UBERON:0001072	UMLS:C0042458
UBERON:0001074	UMLS:C0225972
UBERON:0001075	UMLS:C0223084
UBERON:0001078	UMLS:C0223080
UBERON:0001084	UMLS:C0205029
UBERON:0001085	UMLS:C0205031
UBERON:0001088	UMLS:C0042036
UBERON:0001089	UMLS:C0038984
UBERON:0001090	UMLS:C0039097
UBERON:0001091	UMLS:C0040426
UBERON:0001092	UMLS:C0004170
UBERON:0001093	UMLS:C0004457
UBERON:0001093	UMLS:C2919848
UBERON:0001094	UMLS:C1261045
UBERON:0001095	UMLS:C0223616
UBERON:0001097	UMLS:C0729594
UBERON:0001098	UMLS:C0021156
UBERON:0001099	UMLS:C0226653
UBERON:0001100	UMLS:C0224347
UBERON:0001101	UMLS:C0226543
UBERON:0001103	UMLS:C0011980
UBERON:0001104	UMLS:C0226545
UBERON:0001105	UMLS:C0008913
UBERON:0001105	UMLS:C4019107
UBERON:0001106	UMLS:C0226802
UBERON:0001107	UMLS:C0224162
UBERON:0001108	UMLS:C0224163
UBERON:0001109	UMLS:C0224166
UBERON:0001110	UMLS:C0224167
UBERON:0001111	UMLS:C0021724
UBERON:0001112	UMLS:C0224362
UBERON:0001113	UMLS:C0447541
UBERON:0001114	UMLS:C0227481
UBERON:0001115	UMLS:C0227486
UBERON:0001117	UMLS:C0227489
UBERON:0001118	UMLS:C0447647
UBERON:0001119	UMLS:C0229581
UBERON:0001120	UMLS:C0229582
UBERON:0001121	UMLS:C0224169
UBERON:0001122	UMLS:C0224174
UBERON:0001123	UMLS:C1710019
UBERON:0001125	UMLS:C1710059
UBERON:0001126	UMLS:C1710058
UBERON:0001127	UMLS:C1711277
UBERON:0001128	UMLS:C0224153
UBERON:0001129	UMLS:C0584884
UBERON:0001130	UMLS:C0037949
UBERON:0001130	UMLS:C0549207
UBERON:0001130	UMLS:C1519455
UBERON:0001132	UMLS:C0030518
UBERON:0001134	UMLS:C0242692
UBERON:0001135	UMLS:C1267092
UBERON:0001136	UMLS:C0086610
UBERON:0001137	UMLS:C0004600
UBERON:0001138	UMLS:C0226742
UBERON:0001139	UMLS:C0226758
UBERON:0001140	UMLS:C0035092
UBERON:0001141	UMLS:C0508000
UBERON:0001142	UMLS:C0508001
UBERON:0001143	UMLS:C0019155
UBERON:0001144	UMLS:C0226718
UBERON:0001145	UMLS:C0226720
UBERON:0001146	UMLS:C0226717
UBERON:0001148	UMLS:C0025058
UBERON:0001150	UMLS:C0227582
UBERON:0001151	UMLS:C0227590
UBERON:0001152	UMLS:C0010672
UBERON:0001153	UMLS:C0007531
UBERON:0001154	UMLS:C0003617
UBERON:0001155	UMLS:C0009368
UBERON:0001156	UMLS:C0227375
UBERON:0001157	UMLS:C0227386
UBERON:0001158	UMLS:C0227389
UBERON:0001159	UMLS:C0227391
UBERON:0001159	UMLS:C0682612
UBERON:0001160	UMLS:C0017129
UBERON:0001161	UMLS:C0227230
UBERON:0001162	UMLS:C0007144
UBERON:0001163	UMLS:C0227221
UBERON:0001164	UMLS:C0227223
UBERON:0001165	UMLS:C0034193
UBERON:0001166	UMLS:C0034196
UBERON:0001168	UMLS:C1519375
UBERON:0001171	UMLS:C0682620
UBERON:0001172	UMLS:C0227519
UBERON:0001173	UMLS:C0005423
UBERON:0001174	UMLS:C0009437
UBERON:0001175	UMLS:C0019149
UBERON:0001175	UMLS:C0917710
UBERON:0001176	UMLS:C0227557
UBERON:0001177	UMLS:C0227560
UBERON:0001179	UMLS:C1704247
UBERON:0001182	UMLS:C0162861
UBERON:0001183	UMLS:C0162860
UBERON:0001184	UMLS:C0035065
UBERON:0001185	UMLS:C0226332
UBERON:0001186	UMLS:C0226333
UBERON:0001188	UMLS:C0734076
UBERON:0001189	UMLS:C0734077
UBERON:0001190	UMLS:C0226411
UBERON:0001191	UMLS:C1261084
UBERON:0001192	UMLS:C0226299
UBERON:0001193	UMLS:C0019145
UBERON:0001194	UMLS:C0037996
UBERON:0001195	UMLS:C0226319
UBERON:0001196	UMLS:C0226328
UBERON:0001197	UMLS:C0226323
UBERON:0001198	UMLS:C0580876
UBERON:0001199	UMLS:C0017136
UBERON:0001200	UMLS:C0227211
UBERON:0001201	UMLS:C1517453
UBERON:0001202	UMLS:C0227238
UBERON:0001203	UMLS:C0227200
UBERON:0001204	UMLS:C0227261
UBERON:0001205	UMLS:C0227268
UBERON:0001207	UMLS:C0734203
UBERON:0001208	UMLS:C0734204
UBERON:0001209	UMLS:C1517727
UBERON:0001210	UMLS:C0227262
UBERON:0001211	UMLS:C0031272
UBERON:0001212	UMLS:C0006323
UBERON:0001213	UMLS:C1519988
UBERON:0001214	UMLS:C0226743
UBERON:0001215	UMLS:C0226754
UBERON:0001217	UMLS:C1301431
UBERON:0001219	UMLS:C0226744
UBERON:0001220	UMLS:C0224380
UBERON:0001221	UMLS:C0224378
UBERON:0001222	UMLS:C0227682
UBERON:0001223	UMLS:C0227683
UBERON:0001224	UMLS:C0227666
UBERON:0001225	UMLS:C0022655
UBERON:0001228	UMLS:C0022664
UBERON:0001228	UMLS:C0022666
UBERON:0001229	UMLS:C0227635
UBERON:0001230	UMLS:C0524448
UBERON:0001231	UMLS:C0022674
UBERON:0001232	UMLS:C0022675
UBERON:0001233	UMLS:C0229559
UBERON:0001234	UMLS:C0229560
UBERON:0001235	UMLS:C0001613
UBERON:0001236	UMLS:C0001629
UBERON:0001236	UMLS:C0376604
UBERON:0001237	UMLS:C0030378
UBERON:0001237	UMLS:C0442134
UBERON:0001238	UMLS:C1711325
UBERON:0001239	UMLS:C0734776
UBERON:0001241	UMLS:C0227267
UBERON:0001242	UMLS:C0021839
UBERON:0001244	UMLS:C0224394
UBERON:0001245	UMLS:C0003461
UBERON:0001246	UMLS:C0227515
UBERON:0001247	UMLS:C0230240
UBERON:0001248	UMLS:C0229685
UBERON:0001249	UMLS:C1519475
UBERON:0001250	UMLS:C0229687
UBERON:0001251	UMLS:C1711368
UBERON:0001255	UMLS:C0005682
UBERON:0001256	UMLS:C0458421
UBERON:0001257	UMLS:C0447586
UBERON:0001258	UMLS:C0227716
UBERON:0001259	UMLS:C0227691
UBERON:0001261	UMLS:C1706967
UBERON:0001262	UMLS:C1708548
UBERON:0001263	UMLS:C0227578
UBERON:0001264	UMLS:C0030274
UBERON:0001265	UMLS:C0229688
UBERON:0001266	UMLS:C0735011
UBERON:0001267	UMLS:C0015808
UBERON:0001269	UMLS:C0000962
UBERON:0001271	UMLS:C0684083
UBERON:0001273	UMLS:C0020889
UBERON:0001274	UMLS:C0022122
UBERON:0001275	UMLS:C0034014
UBERON:0001277	UMLS:C0226890
UBERON:0001279	UMLS:C0227514
UBERON:0001281	UMLS:C0227523
UBERON:0001282	UMLS:C0227517
UBERON:0001283	UMLS:C0005393
UBERON:0001285	UMLS:C0027713
UBERON:0001286	UMLS:C0227643
UBERON:0001287	UMLS:C1514580
UBERON:0001288	UMLS:C0023986
UBERON:0001288	UMLS:C0227657
UBERON:0001288	UMLS:C0227658
UBERON:0001289	UMLS:C0227657
UBERON:0001292	UMLS:C0022676
UBERON:0001295	UMLS:C0014180
UBERON:0001296	UMLS:C0027088
UBERON:0001297	UMLS:C0227824
UBERON:0001298	UMLS:C0224419
UBERON:0001299	UMLS:C0227948
UBERON:0001300	UMLS:C0036471
UBERON:0001301	UMLS:C0014533
UBERON:0001302	UMLS:C0227900
UBERON:0001303	UMLS:C0227902
UBERON:0001304	UMLS:C0227875
UBERON:0001305	UMLS:C0018120
UBERON:0001305	UMLS:C0600225
UBERON:0001305	UMLS:C1135971
UBERON:0001307	UMLS:C0227877
UBERON:0001308	UMLS:C0226398
UBERON:0001309	UMLS:C0226364
UBERON:0001310	UMLS:C0041632
UBERON:0001311	UMLS:C0226377
UBERON:0001312	UMLS:C0226376
UBERON:0001313	UMLS:C0226367
UBERON:0001314	UMLS:C0226369
UBERON:0001315	UMLS:C0226371
UBERON:0001316	UMLS:C0226761
UBERON:0001317	UMLS:C0226764
UBERON:0001320	UMLS:C0226760
UBERON:0001321	UMLS:C0226776
UBERON:0001322	UMLS:C0036394
UBERON:0001323	UMLS:C0040186
UBERON:0001323	UMLS:C0228940
UBERON:0001323	UMLS:C0936237
UBERON:0001324	UMLS:C0031173
UBERON:0001324	UMLS:C4316912
UBERON:0001326	UMLS:C0224384
UBERON:0001328	UMLS:C0227970
UBERON:0001332	UMLS:C0227952
UBERON:0001333	UMLS:C0458452
UBERON:0001334	UMLS:C0458485
UBERON:0001335	UMLS:C0458450
UBERON:0001339	UMLS:C0224401
UBERON:0001341	UMLS:C0230212
UBERON:0001342	UMLS:C0230310
UBERON:0001343	UMLS:C0036630
UBERON:0001343	UMLS:C1519236
UBERON:0001344	UMLS:C0920840
UBERON:0001346	UMLS:C0020412
UBERON:0001347	UMLS:C1704223
UBERON:0001348	UMLS:C0006298
UBERON:0001348	UMLS:C1720753
UBERON:0001350	UMLS:C0009194
UBERON:0001351	UMLS:C0229289
UBERON:0001352	UMLS:C0013444
UBERON:0001353	UMLS:C0230120
UBERON:0001354	UMLS:C0226401
UBERON:0001355	UMLS:C0226455
UBERON:0001357	UMLS:C0226393
UBERON:0001358	UMLS:C0226394
UBERON:0001359	UMLS:C0007806
UBERON:0001361	UMLS:C0015809
UBERON:0001363	UMLS:C0392907
UBERON:0001365	UMLS:C0036036
UBERON:0001367	UMLS:C0224395
UBERON:0001368	UMLS:C1518528
UBERON:0001369	UMLS:C0224418
UBERON:0001370	UMLS:C0224424
UBERON:0001371	UMLS:C0224425
UBERON:0001372	UMLS:C0224420
UBERON:0001373	UMLS:C0224434
UBERON:0001374	UMLS:C0224449
UBERON:0001375	UMLS:C0224453
UBERON:0001376	UMLS:C1384497
UBERON:0001377	UMLS:C0224440
UBERON:0001378	UMLS:C0584894
UBERON:0001379	UMLS:C0224444
UBERON:0001381	UMLS:C0224452
UBERON:0001382	UMLS:C0224447
UBERON:0001384	UMLS:C0026607
UBERON:0001385	UMLS:C1710423
UBERON:0001386	UMLS:C0224464
UBERON:0001387	UMLS:C0224469
UBERON:0001388	UMLS:C0242691
UBERON:0001389	UMLS:C0242694
UBERON:0001390	UMLS:C0226464
UBERON:0001391	UMLS:C0224457
UBERON:0001392	UMLS:C0224473
UBERON:0001393	UMLS:C0004302
UBERON:0001394	UMLS:C0004455
UBERON:0001395	UMLS:C0226420
UBERON:0001396	UMLS:C0226421
UBERON:0001397	UMLS:C0226422
UBERON:0001398	UMLS:C0006087
UBERON:0001401	UMLS:C0224307
UBERON:0001402	UMLS:C0224308
UBERON:0001403	UMLS:C0224309
UBERON:0001404	UMLS:C0162857
UBERON:0001405	UMLS:C0224311
UBERON:0001406	UMLS:C0162858
UBERON:0001407	UMLS:C0224316
UBERON:0001408	UMLS:C0224317
UBERON:0001409	UMLS:C0224318
UBERON:0001410	UMLS:C0226446
UBERON:0001411	UMLS:C0226801
UBERON:0001413	UMLS:C0226812
UBERON:0001416	UMLS:C0222166
UBERON:0001417	UMLS:C0205030
UBERON:0001419	UMLS:C1282135
UBERON:0001423	UMLS:C0034627
UBERON:0001424	UMLS:C0041600
UBERON:0001427	UMLS:C0223724
UBERON:0001428	UMLS:C0036624
UBERON:0001429	UMLS:C0223729
UBERON:0001430	UMLS:C0223736
UBERON:0001431	UMLS:C0223741
UBERON:0001432	UMLS:C0223733
UBERON:0001433	UMLS:C0560737
UBERON:0001434	UMLS:C0037253
UBERON:0001435	UMLS:C0007285
UBERON:0001436	UMLS:C0223792
UBERON:0001437	UMLS:C0014570
UBERON:0001437	UMLS:C1708734
UBERON:0001438	UMLS:C0222671
UBERON:0001439	UMLS:C0222661
UBERON:0001443	UMLS:C0817096
UBERON:0001443	UMLS:C1527391
UBERON:0001446	UMLS:C0016068
UBERON:0001447	UMLS:C0039316
UBERON:0001448	UMLS:C0025584
UBERON:0001449	UMLS:C0584876
UBERON:0001450	UMLS:C0006655
UBERON:0001451	UMLS:C0223947
UBERON:0001452	UMLS:C1512869
UBERON:0001453	UMLS:C1513292
UBERON:0001454	UMLS:C1517036
UBERON:0001455	UMLS:C0376381
UBERON:0001456	UMLS:C0015450
UBERON:0001457	UMLS:C0222088
UBERON:0001458	UMLS:C0222101
UBERON:0001459	UMLS:C0222110
UBERON:0001460	UMLS:C0446516
UBERON:0001461	UMLS:C0013769
UBERON:0001463	UMLS:C0040067
UBERON:0001464	UMLS:C0019552
UBERON:0001465	UMLS:C0022742
UBERON:0001466	UMLS:C0040357
UBERON:0001467	UMLS:C0037004
UBERON:0001468	UMLS:C1182940
UBERON:0001469	UMLS:C0038291
UBERON:0001470	UMLS:C0037009
UBERON:0001470	UMLS:C0224599
UBERON:0001473	UMLS:C0229889
UBERON:0001474	UMLS:C0262950
UBERON:0001476	UMLS:C0224234
UBERON:0001477	UMLS:C0584882
UBERON:0001478	UMLS:C0224232
UBERON:0001479	UMLS:C0036846
UBERON:0001484	UMLS:C0206207
UBERON:0001485	UMLS:C0022745
UBERON:0001486	UMLS:C0019558
UBERON:0001487	UMLS:C0021774
UBERON:0001487	UMLS:C1135949
UBERON:0001488	UMLS:C0003087
UBERON:0001488	UMLS:C0730182
UBERON:0001490	UMLS:C0013770
UBERON:0001491	UMLS:C1322271
UBERON:0001492	UMLS:C0034518
UBERON:0001493	UMLS:C0228885
UBERON:0001494	UMLS:C0041602
UBERON:0001495	UMLS:C0030747
UBERON:0001496	UMLS:C0003956
UBERON:0001502	UMLS:C0224295
UBERON:0001503	UMLS:C1744530
UBERON:0001505	UMLS:C0224246
UBERON:0001506	UMLS:C0224240
UBERON:0001507	UMLS:C0559499
UBERON:0001509	UMLS:C0559502
